,ID,Car_Owned,Bike_Owned,Active_Loan,House_Own,Child_Count,Own_House_Age,Mobile_Tag,Homephone_Tag,Workphone_Working,Client_Family_Members,Cleint_City_Rating,Application_Process_Day,Application_Process_Hour,Score_Source_1,Score_Source_2,Social_Circle_Default,Phone_Change,Credit_Bureau,Default,Alone,Group,Kids,Others,Partner,Relative,Commercial,Govt Job,Service,Graduation,Graduation dropout,Junior secondary,Post Grad,Secondary,D,M,S,W,Female,Male,CL,RL,Family,Home,Municipal,Office,Rental,Shared,Accountants,Cleaning,Cooking,Core,Drivers,HR,High skill tech,IT,Laborers,Low-skill Laborers,Managers,Medicine,Private service,Realty agents,Sales,Secretaries,Security,Waiters/barmen,No,Yes
102,12127046,1.0,0.0,0.0,1.0,3.0,2.0,1,0,1,5.0,1.0,4.0,10.0,0.47716857,0.67744661,0.033,1805.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
126,12210150,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,2.0,2.0,2.0,11.0,0.741929904,0.6424452589999999,0.10099999999999999,2268.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
161,12170397,1.0,1.0,1.0,1.0,0.0,17.0,1,1,0,2.0,2.0,6.0,11.0,0.135435367,0.470133562,0.0021,1753.0,7.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
189,12159662,1.0,1.0,0.0,1.0,0.0,5.0,1,0,0,2.0,3.0,0.0,10.0,0.288839564,0.272040179,0.0412,1198.0,3.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
190,12178498,1.0,1.0,0.0,1.0,0.0,31.0,1,0,1,2.0,2.0,4.0,5.0,0.245755768,0.295018947,0.1606,922.0,2.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,12211396,1.0,1.0,1.0,1.0,0.0,5.0,1,0,1,2.0,2.0,5.0,13.0,0.78271132,0.7816230679999999,0.1186,1964.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,12191314,1.0,0.0,0.0,1.0,0.0,3.0,1,0,0,1.0,1.0,6.0,13.0,0.622793856,0.655332956,0.2052,412.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
290,12178207,1.0,0.0,0.0,1.0,1.0,10.0,1,0,1,3.0,2.0,3.0,11.0,0.28567243600000003,0.654937707,0.33299999999999996,1854.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
300,12138307,1.0,0.0,0.0,1.0,1.0,14.0,1,0,0,3.0,2.0,5.0,15.0,0.323455283,0.141513258,0.3216,308.0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
318,12209444,1.0,0.0,1.0,1.0,0.0,65.0,1,0,0,1.0,2.0,1.0,11.0,0.676352317,0.5943372720000001,0.0124,885.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
391,12168913,1.0,0.0,1.0,0.0,0.0,65.0,1,0,0,2.0,3.0,4.0,10.0,0.312880353,0.307627166,0.0742,1312.0,2.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
417,12142827,1.0,1.0,1.0,1.0,1.0,13.0,1,0,0,3.0,2.0,2.0,16.0,0.88034662,0.533583585,0.1299,665.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
